name,iso3,year,percent,residence,indicator,pop,region,income_id
Brazil,BRA,2010,39.85950933685704,national,Safely managed,195713640.625,Latin America & Caribbean,UMC
Brazil,BRA,2020,48.70631499755618,national,Safely managed,212559406.25,Latin America & Caribbean,UMC
British Virgin Islands,VGB,2000,NA,national,Safely managed,20312.9997253418,Latin America & Caribbean,HIC
British Virgin Islands,VGB,2010,NA,national,Safely managed,27795.99952697754,Latin America & Caribbean,HIC
British Virgin Islands,VGB,2020,NA,national,Safely managed,30236.99951171875,Latin America & Caribbean,HIC
Brunei Darussalam,BRN,2000,NA,national,Safely managed,333165.9851074219,East Asia & Pacific,HIC
Brunei Darussalam,BRN,2010,NA,national,Safely managed,388634.0026855469,East Asia & Pacific,HIC
Brunei Darussalam,BRN,2020,NA,national,Safely managed,437483.0017089844,East Asia & Pacific,HIC
Bulgaria,BGR,2000,50.98889338915401,national,Safely managed,7997951.171875,Europe & Central Asia,UMC
Bulgaria,BGR,2010,53.13918148005182,national,Safely managed,7425011.23046875,Europe & Central Asia,UMC
Bulgaria,BGR,2020,72.22877411776082,national,Safely managed,6948444.82421875,Europe & Central Asia,UMC
Burkina Faso,BFA,2000,NA,national,Safely managed,11607951.171875,Sub-Saharan Africa,LIC
Burkina Faso,BFA,2010,NA,national,Safely managed,15605210.9375,Sub-Saharan Africa,LIC
Burkina Faso,BFA,2020,NA,national,Safely managed,20903277.34375,Sub-Saharan Africa,LIC
Burundi,BDI,2000,NA,national,Safely managed,6378871.09375,Sub-Saharan Africa,LIC
Burundi,BDI,2010,NA,national,Safely managed,8675606.4453125,Sub-Saharan Africa,LIC
Burundi,BDI,2020,NA,national,Safely managed,11890781.25,Sub-Saharan Africa,LIC
Cabo Verde,CPV,2000,NA,national,Safely managed,428178.0090332031,Sub-Saharan Africa,LMC
Cabo Verde,CPV,2010,NA,national,Safely managed,492644.0124511719,Sub-Saharan Africa,LMC
Cabo Verde,CPV,2020,NA,national,Safely managed,555987.97607421875,Sub-Saharan Africa,LMC
Cambodia,KHM,2000,NA,national,Safely managed,12155241.2109375,East Asia & Pacific,LMC
Cambodia,KHM,2010,NA,national,Safely managed,14312205.078125,East Asia & Pacific,LMC
Cambodia,KHM,2020,NA,national,Safely managed,16718970.703125,East Asia & Pacific,LMC
Cameroon,CMR,2000,NA,national,Safely managed,15513944.3359375,Sub-Saharan Africa,LMC
Cameroon,CMR,2010,NA,national,Safely managed,20341236.328125,Sub-Saharan Africa,LMC
Cameroon,CMR,2020,NA,national,Safely managed,26545863.28125,Sub-Saharan Africa,LMC
Canada,CAN,2000,77.57492526191191,national,Safely managed,30588378.90625,North America,HIC
Canada,CAN,2010,80.85439847550397,national,Safely managed,34147566.40625,North America,HIC
Canada,CAN,2020,84.3683932245171,national,Safely managed,37742156.25,North America,HIC
Caribbean Netherlands,BES,2000,NA,national,Safely managed,14387.00008392334,NA,NA
